Name,Category,Followers,Description
Nilavo Technologies Ltd.,Software Development,474 followers,Offshore Software Development House
IMpulse (BD) Ltd,"Software Development • Tejgaon Commercial Area, Dhaka",405 followers,Specialties: Customized Software and Development
Disrupt Technologies Limited,"IT Services and IT Consulting • Dhaka, Dhaka",397 followers,"Disrupt Technologies, based out of Bangladesh and Singapore, is a pioneer in the digital ecosystem arena in local and international markets. We harness the power of technology to boost business growth, producing scalable and quantifiable results. We offer systems solutions across all business verticals catering..."
Metatude Asia Ltd,"Information Technology & Services • Dhaka, Dhaka",455 followers,...software development organization. We are 100% export oriented organization with primary customer base at Europe. We started our journey in the year 2002...
Nano Information Technology,Software Development • Dhaka,381 followers,"...of software and communications solutions in Bangladesh. Our principal activities include local, national and international software development and maintenance..."
Terms Brain,Software Development • chattogram,492 followers,"...need a custom software development, a cutting-edge AI solution, a digital marketing strategy or an IT consultancy, we have the expertise and experience to help..."
OmniDevelo,"IT Services and IT Consulting • Dhaka, Dhaka",423 followers,Innovating for a Purpose | Branding Company • Specialties: Web development
Manush Technologies Pte Ltd,Information Technology & Services • Singapore,339 followers,"Manush Technologies, headquartered in Singapore and Dhaka, stands as a leading software and services technology company. Our commitment lies in providing distinctive software solutions through a dedicated end-to-end development cycle and the integration of cutting-edge technologies.  Established by highly passionate..."
Tech DSF,"Information Technology & Services • Thakurgaon, thakurgaon",447 followers,"Welcome to the TechDSF. We Manage your Brand for creating the best and popular secure branding technology. We make your software, Marketing your software, give security for your software, and any kind of tech-related services. We are one of the most popular trusted security services and software development company..."
Maple Service Solution Limited,Information Technology & Services • Dhaka,381 followers,"..., software and app development, sales funnel creation, call center operations, and digital marketing. We take pride in our ability to blend creativity, technical..."
Shataj Soft Ltd.,"IT System Custom Software Development • Dhaka, BD",162 followers,"Shataj Soft Ltd. has been engaged with Web Design, Customized software, Mobile applications and IT Related Support Company based in Dhaka, Bangladesh, Established in 2001. We have awarded with “Wins award Gold Medal from BID INTERNATIONAL” in France at 2013 for Software Development. We have made a reputation..."
SoftTech-IT Limited,Software Development • Dhaka,241 followers,"...products.  We began our dream journey in March 2015, and since then, we’ve worked on a wide range of projects and clients, from small businesses and SMEs to large corporations.  Our friendly work environment and fun-loving culture encourage us to think and act in innovative ways.  We believe in simplicity, modernization..."
Best Practicify,"IT Services and IT Consulting • Los Angeles, California",304 followers,"...the ever-changing technological landscape so it can leverage modern technology to deliver results faster, adapt plans in times of uncertainty, and create..."
Next Studio,"Design Services • Mohammadpur, Dhaka",458 followers,"As a design agency, our goal is to create visual experiences that resonate with our clients and their target audience. We specialize in creating customized design solutions for businesses and individuals, from branding and identity design to website development, advertising, and environmental design.  We believe that..."
Trust Global Communications,Outsourcing and Offshoring Consulting • Chittagong,406 followers,...also available. Also specialized in software development and Multichannel E-Commerce Management.
Offbeat Solutions Limited,"IT Services and IT Consulting • Dhaka, Dhaka",441 followers,"Pioneering Technology Marketing Through Design, Marketing, Web, and Apps Development Excellence. As a forefront digital agency, Offbeat excels in providing..."
TigerIT Bangladesh LTD.,"IT Services and IT Consulting • Dhaka, Dhaka",356 followers,"Tiger it has 10 years of experience working in software development. It is one of the best software companies around Bangladesh to create the Automated Fingerprint Identification System (AFIS). In 2008, for the general election of Bangladesh, Tiger it build a complete software of the national id and voter registration..."
T.A it solutions bd,"Software Development • Kurigram, Rangpur,Kurigram",479 followers,"""At T.A it solutions bd, we're dedicated to providing cutting-edge technology solutions tailored to meet the unique needs of businesses in Bangladesh and beyond. From software development to IT consulting, cybersecurity to cloud services, our team of experts is committed to delivering innovative and reliable solutions..."
IT Lab Solutions Limited,Information Technology & Services • Sylhet,327 followers,"IT Lab Solutions Limited ® is a renowned IT solution provider in Sylhet, Bangladesh; is established by young professionals from various disciplines with a..."
IBacs Limited,Software Development • Dhaka,391 followers,"iBacs Limited is a professional IT solution company based in Dhaka,Bangladesh. iBacs limited is incorporated with iBacs IT Solutions LTD Cardiff, UK. It..."
3DEVs IT Ltd.,IT Services and IT Consulting • Dhaka,383 followers,"3DEVs IT Ltd. is a client's need-focused software company located in Dhaka, Bangladesh. We provide custom software, web, and mobile apps development solutions to individual and enterprise business needs.  || Services We Offer ||  ☑️ Custom Software Development ☑️ Web Design & Development ☑️ Ecommerce Development..."
Klassroom.xyz,E-learning • Dhaka,402 followers,"Klassroom.xyz is an online platform where anyone can learn anything from anywhere. We aim to empower the youth by providing quality skills development training, and mentorship to battle the youth's biggest problems - unemployment, lack of skills."
Superbit,IT Services and IT Consulting • Dhaka,466 followers,Problem is solved. 1. ICT Consultancy for Govt and Corporate Organisations 2. Corporate Computer Support & Services. 3. Network Infrastructure Design & Deployment 4. Data Center Virtualization 5. Correlation with Cloud Computing & On-Premises Data Center 6. Paperless Office Design 7. On-demand Software Development 8...
Ringer Soft Limited,"Software Development • Chittagong, Chittagong",397 followers,"Ringer Soft is a full-service interactive software company that helps clients succeed by creating outstanding digital solutions. We provide fully customized software and IT solutions for industries, business enterprises, and educational institutions to fulfill their needs. We have a pool of balanced and creative..."
BytecodeSoft - Software & Digital Agency,"Advertising Services • Dhaka, C",249 followers,...service. The followings services we provide in-home & abroad:  Services: # Web Development & Design. # Domain Hosting. # Graphic Design. # Digital / Internet...
Arclite Systems Ltd.,"Mobile Gaming Apps • Dhaka, Dhaka North",386 followers,"'Arclite Systems Ltd.' is a game development company pioneering innovation in the mobile gaming industry. With a relentless passion for creativity and a steadfast commitment to excellence, we stand at the forefront of crafting immersive and entertaining experiences for modern mobile gamers. Founded in 2010, Arclite..."
M4YOURS IT,"IT Services and IT Consulting • Dhaka, Dhaka",247 followers,"...of acquaintance, absolute intelligence, and arrangement beyond assorted industries and domains. We provide full-cycle services in the areas of software development, web-based enterprise solutions, web applications, and portal development."
Texture Software Informatics,"IT Services and IT Consulting • Dhaka, Bangladesh",150 followers,Software Development | eCommerce | Website Development | WordPress Website Design | Digital Marketing | SEO
zipbox,"Software Development • Dhaka,Bangladesh, Dhaka",402 followers,Software development agency
Digital agency park,"IT System Custom Software Development • Dhaka, Bangladesh",419 followers,...Development:** **eCommerce Development:** **Customized Software Development:** **Mobile App Development:** **UI/UX Design:** **Digital Marketing:** **AI Integration...
Anex Business Solution,"IT Services and IT Consulting • Dhaka, Dhaka",309 followers,Anex Business Solution is a Business Consultancy and Solution Firm Based in Dhaka. Firm is running since 2019 but we started making our brand since 2022. We have 42 full time employees with 100+ part time and contact based. We were working on remote work facility till mid of 2022 and now we have own office in Dhaka...
Encode Solution,IT Services and IT Consulting • Dhaka,452 followers,"Encode Solution is a premier global IT company specializing in web, software, and app development. Our mission is to empower businesses worldwide by harnessing..."
Vanguard Solution,"Information Technology & Services • Cheyenne, Wyoming",272 followers,"Vanguard Solution is a leading provider of comprehensive IT and Digital Marketing solutions for small and medium-sized businesses in the world. Our extensive portfolio includes implementation services, fully outsourced hosted IT solutions, and a range of services such as web design and development, UX design, mobile..."
Green Feather Technologies Ltd,"Technology, Information and Internet • Dhaka, Dhaka",372 followers,"...management of different work processes. Vivasoft Ltd, one of the largest offshore software companies of Bangladesh, is also a core shareholder of this company. So we can help organizations to automate its processes through customized software."
"Ningbo Cixing Co., Ltd.","Machinery Manufacturing • Cixi City, Hangzhou Bay New District",370 followers,"Ningbo Cixing Co., Ltd was founded in 1988. After three decades of reform and opening up, Cixing has always been aiming at promoting industrial development..."
SDR - Software Development & Research,Software Development • Chittagong,241 followers,"SDR is the partner of choice for many of the world’s leading enterprises, SMEs and technology challengers. We help businesses elevate their value through custom software development, product design, QA and consultancy services, website development, mobile apps development and complete eCommerce solution."
Soft Light,Information Technology & Services • Dhaka,414 followers,"Soft Light is an IT firm which is developing Human-centric products using AI, IoT, Robotics & Electronics • Specialties: software development"
Esquire Technology Ltd,Software Development • Dhaka,427 followers,Our software teams help our customers build customized software - everything from web to desktop to enterprise to mobile and beyond.We hire only the best. Our culture helps us retain our talents and our skill development programs ensure that we are always on the top of recent developments. We have been building...
Alphasoft Technology Limited,"Software Development • Dhaka, Dhaka",333 followers,Alpha soft technology Ltd. was established in 2013 and is the leading software company in Bangladesh. We provide exceptional software services and solutions to companies worldwide. We offer world-class services through traditional methodologies and IT solution by relying on the most talented pool of engineers in...
PRAXIS IT,"Software Development • Dhaka, Other Country",388 followers,Praxis Training Technology & Consultancy is working under three different areas of Information Technology:  • ICT Education and Training  • Software Development • IT Solution & Consultancy
Vector360,"IT Services and IT Consulting • Dhaka, Dhaka",302 followers,"Vector360 is a software development company that develops software from scratch to a comprehensive product. Incorporating the Agile approach into our operations ensures adaptability, transparency, frequent outputs, and risk management.   - Agile offers various advantages to stakeholders, consumers, and the team..."
DevFirm,"Software Development • Dhaka, Dhaka",404 followers,"DevFirm is a Bootstrapped Software Agency located in the Heart of Bangladesh, Dhaka. We are dedicated to ensure delivering The Custom Application that your business actually need."
TwiteSoft,IT Services and IT Consulting • Dhaka,459 followers,"Unlock the full potential of technology with our comprehensive IT services, encompassing web development, software solutions, and mobile app development, tailored to drive your digital success."
Incrosoft,Software Development • Dhaka,392 followers,...constantly working to stay up-to-date on the latest trends and techniques in the industry. We take a collaborative and transparent approach to software development...
softstation71,Software Development • Rajshahi,453 followers,"Welcome To Softstation71 Softstation71, a software development company, helps to digitize businesses by focusing on clients’ business challenges, needs, and pain points and providing business-goals-oriented software solutions. We value close transparent cooperation and encourage our clients to participate actively in..."
Infosystem Technology Limited,"Information Technology & Services • Dhaka, Dhaka",367 followers,"...writing, we also offer software development services. Whether you need a custom app, website, or software solution, we can help. Our team of experienced..."
Eiconik Academy,Education Administration Programs • Dhaka,408 followers,"...learning and internee facilities collaborating with the Indian industry-leading AI organization. Which is absent in the local field and very demandable in the job market. We are supporting also businesses by Digital Marketing, Graphics Design, Web Development, and Software."
Revinns Limited,"IT System Custom Software Development • Dhaka, Dhaka",376 followers,For Revolutionary Innovations • Specialties: Software Development
Dream Array,"IT Services and IT Consulting • Dhaka, Monipuri Para",422 followers,Dream Array (DA) consists of a panel of individuals who have knowledge in both IT and business. Our enthusiastic team is empowered in our clients' dreams...
Minorminds Technologies,"IT Services and IT Consulting • Dhaka, Dhaka",386 followers,"...Marketing Consultancy, Search Engine Optimization, Social Media Based Business Marketing, Content Writing, Graphics Design, Web Development, Software Development..."
Friends IT Solutions,"IT Services and IT Consulting • Mirpur, Dhaka",426 followers,"Friends IT solution, Bangladesh is a fast-growing service provider in the Information Technology,  training, development and consulting Process in country side and global market. Located in Bangladesh,  we provide a wide array of services for businesses and individuals across the nation wide and world wide.  Some..."
ProgrammingSkillsTech,Software Development • Mirpur,409 followers,"At ProgrammingSkills Tec, we're on a mission to push the boundaries of software development and innovation. With a relentless commitment to code excellence and a passion for technology, we deliver cutting-edge digital solutions that empower businesses and individuals to thrive in the digital age. Join us in our..."
Web Dynamic,"Technology, Information and Internet • Heraklion, Crete",383 followers,"Web Dynamic offers professional custom web design and web application development services in Greece and Europe. Our focus is creating unique websites with custom designs and professional web applications tailored to the client's needs.   As a leading web development agency in Greece, Web Dynamic is dedicated..."
Fair Solution Limited,"IT Services and IT Consulting • Dhaka, Banani",305 followers,"Fair Solution Limited is a custom software development and services firm based in Bangladesh. We have extensive experience in many diverse areas of both software development and IT services. Our experienced staff of professionals has worked with a wide array of platforms, languages, and tools in the course of our..."
Creative EDGE,"IT Services and IT Consulting • Dhaka, Dhaka",440 followers,"Creative EDGE is the leading website and software development company in Bangladesh. We're the creative and innovative technology company providing key digital services, focused on helping our clients to build a successful business on web and mobile. We provides the client's requirements such as website, software..."
UQIDEV,Software Development • Chemnitz,435 followers,"Uqidev is a software development company, offering end to end development services in several technologies."
Crystal Tech,"Software Development • Dhaka, Dhaka",355 followers,"Welcome to Crystal Technology Bangladesh Ltd - your gateway to innovative solutions shaping the future! 🌐✨ We're a dynamic tech firm committed to revolutionizing industries through cutting-edge technology. Our passion lies in crafting bespoke software, fostering digital transformation, and pioneering groundbreaking..."
Autocon Engineering Limited,"Automation Machinery Manufacturing • Dhaka, Dhaka",398 followers,"...and programming software, training, and automation solution in Bangladesh through multinational conglomerate corporations like SIEMENS. ACEL is also supply electrical..."
Launch a Project,IT Services and IT Consulting • Chattogram,401 followers,Duoneos is an ITES and Software Company. We provide a range of services to Local and International clients providing higher quality than competitors at a reasonable price. We are also known for delivering on time.
Bit Software Solutions Ltd.,"IT Services and IT Consulting • Dhaka, Dhaka",225 followers,"Bit Software Solution is a leading and award winning IT solutions company providing full-cycle services in areas of software development, web development, Android and iPhone application development."
RightClick Solutions Limited,IT Services and IT Consulting • Dhaka,378 followers,RightClick Solutions Ltd. (RCSL) is established in 1995. RCSL is focused on the development of software. We treat each of our customers individually. We offer...
IT Geeks,"Information Technology & Services • Dhaka, Bangladesh,  Shyamoli",352 followers,"We are software development company . We plan, design and develop innovative websites using open source web content management systems. e collaborate with you..."
Themewinter,"IT Services and IT Consulting • Dhaka, Dhaka",404 followers,"Themewinter is a leading software company dedicated to delivering high-quality WordPress themes and plugins, elevating online experiences for businesses and individuals alike.   Founded in 2013, we began our journey on Envato Marketplace. Our main products were the Joomla Template, HTML Template, and WordPress Themes..."
ITCO,"Information Technology & Services • Dhaka, Dhaka",54 followers,Technology For Innovation • Specialties: Software Development
HashTag Research & Technology Ltd.,IT Services and IT Consulting • Rangpur,332 followers,"...of printing and web-based design, software development, SEO, and Digital Marketing services. In addition, to design and development services, we conduct..."
Farzia BD,"Wholesale Apparel and Sewing Supplies • Dhaka, Dhaka",423 followers,‘Farzia Bangladesh’ has started operation as a distributor venture known as “FarziaBD” under the aegis of the group’s first concern in 2017.  As FarziaBD has...
SOPNO LIKHI,"Software Development • Sirajganj, Rajshahi",428 followers,"""SOPNO LIKHI"" is a software company. We start all its operations in early 2023. We work on various projects, For example: 1. Web Design and Development, 2. Android Application, 3. All eCommerce websites and apps. 4. API (Application Programming Interface) Many more things.."
MECADEMY,Professional Training and Coaching • Dhaka,396 followers,"...& Design Files ▪ Engineering Software ▪ Online & Offline Training Module  ---------------- And Many More.  Always stay active by liking, commenting and sharing our..."
Oxylx,Software Development • Sylhet,446 followers,"Welcome to Oxylx, your trusted partner for comprehensive digital solutions. We specialize in delivering top-notch Web Development Services and Custom Web Application Development that cater to the unique needs of your business. Our commitment extends beyond coding — we craft experiences.  At Oxylx, we understand..."
OVO Technology,Information Technology & Services • Dhaka,368 followers,"OVO Technology is a large IT base Company in Bangladesh. Our Mission is to give people a smart life. For this circumstances our slogan is ""Technology for smart life"". We are providing mainly IT based services such as Website Design and Development, Custom Online Software, Online Advertisements, Branded SMS Solutions..."
NexERP Limited,"IT Services and IT Consulting • Dhaka, Mirpur DOHS",416 followers,"...include ERP Implementation, Software development, Total Business IT Solutions, customized application software development, Web Application Development, Database..."
SOFT PRO IT,"IT Services and IT Consulting • Dhaka, Mirpur",401 followers,"SOFT PRO IT is an  Innovative IT Solutions Company for Web Design, Software Development, Application Development & 3D"
Win-Win Service Provider,"Software Development • Dhaka, south asiya",364 followers,"...in the development of such opportunity in Bangladesh, they decided to start their journey and by now completed more than 50 projects successfully both in local..."
ADEMIZE Solutions,IT Services and IT Consulting • New York,274 followers,Information Technology & Services | Software | Web Development | App Development
TechRadar Innovations Limited,"IT Services and IT Consulting • Dhaka, Dhaka",424 followers,"...convenience, and enhanced value to people's lives.  Here our supports and services are related  to sale, participate in tenders, IT Consultancy, Software..."
WebMorphix,"Software Development • dhaka, bangladesh",439 followers,"...software solutions. Our team of experts is passionate about turning your digital dreams into reality. We specialize in web and mobile app development, e..."
Infinity Technology International Ltd,IT Services and IT Consulting • Dhaka,296 followers,"Infinity Technology International Limited (ITIL) is an ISO 9001-2008 certified oRev Mixne of the leading IT Company in Bangladesh. Founded by a group of graduates from USA, Australia and Bangladesh in 1993, ITIL is engaged in developing various banking, remittance and other business solutions. Besides, Infinity has..."
Beatnik Technology Ltd.,"IT Services and IT Consulting • Dhaka, MohaKhali DOHS",350 followers,"We believe in technology's transformative power, driving digital growth for our clients.  Our vision is to create a digital landscape where modern design, seamless user experiences, and innovative technologies converge. We aim to be a catalyst for your success in the digital world."
Fortune Tech Ltd.,"IT Services and IT Consulting • Dhaka, Dhaka",355 followers,"Fortune Tech is a digital marketing agency with expertise in online marketing, PR, search, display advertising, mobile and cloud development.   Since it's inception in 2013, the company provides end to end digital marketing solutions that range from consulting and strategy solutions to managing your entire digital..."
Softwind Tech,"Software Development • Banani, Dhaka",393 followers,"We a creative technology lab that offers ground-breaking experiences through the development of software, mobile applications, graphical user interfaces..."
Cyber Security Bangladesh Ltd.,Computer and Network Security • Dhaka,353 followers,"..., information analysis, data center and network equipment, software & manage services in anywhere and outside of Bangladesh."
Bright Future Soft,"Software Development • Mirpur, Mirpur 12",346 followers,"Bright Future is a software company specializing in web development, mobile app development, and UI/UX design. Our team of experts is dedicated to providing top-notch solutions to businesses of all sizes. With years of experience in the industry, we have a proven track record of delivering innovative and customized..."
Indetechs Software Ltd.,Software Development • Dhaka,223 followers,"We develop software solutions for different industrial sectors: Manufacturing industry, Welding Materials and coating development, Waste Heat Recovery, Renewable Energy. Environmental Analysis ISO 14040 & ISO 14044"
KWS,IT Services and IT Consulting • Dhaka,373 followers,"...Intelligence and the development of various Software as a Service (SaaS) projects. A significant milestone in their journey was the acquisition of FTL, an established..."
The ICT Hub,"IT Services and IT Consulting • Dhaka, Dhaka",383 followers,"We are Innovative and passionate software company, Who believes in client’s satisfaction. We works through agile software development to fulfill your requirements on a fixed time scale."
BrainZet Technologies,"Software Development • Chittagong, Chittagong",404 followers,"We are a digital transformation consultancy and software development company that provides cutting-edge engineering solutions, helping Fortune 40 companies..."
TechnoSoft Integration Ltd,Information Technology & Services • Dhaka,363 followers,TechnoSoft  Integration is company that specializes in custom software development and cyber security solutions.
CW Ticketing System,Software Development • Dhaka,319 followers,"CW Ticketing System is a leading ticket booking software development company. We have been providing ticket booking products and services including Bus Ticket Booking system, Train Ticketing System, Cruise Ticketing System, Cable Car Ticketing System, Taxi Booking System, and Event Management System. Our company..."
HostCmt,"Software Development • Dhaka, Dhaka",394 followers,"..., ★ Business Email, ★ SSL Certificates, ★ Sitelock, ★ Codeguard, ★ Web Design & Development ★★★ Our commitment ★★★  ★ Customer support : That’s why we offer..."
Ekopii,"IT System Custom Software Development • Dhaka, Mirpur",328 followers,Ekopii Limited is a software development company offering various digital solutions to help businesses thrive in the digital era. Our company provides software...
Ashab Technology,"IT Services and IT Consulting • Gaibandha Sadar, Gaibandha",354 followers,"Ashab Technology is a well-known software development company in Bangladesh specializing in web development, mobile application development, and software..."
Recursion Technologies Ltd,"Software Development • Dhaka, 44/7 A & 44/7 B",351 followers,"...tirelessly to ensure 24/7 support to provide our customers best quality service in a rapid timeframe.  Headquartered in Bangladesh, Recursion Technologies..."
Tally Software Bangladesh,"Accounting • Dhaka, Dhaka",240 followers,".... Tally Software Bangladesh is official partner for the company in Bangladesh providing Sales, Support and Training service here.    We have clients starting from..."
TechCastell,"IT Services and IT Consulting • Dhaka, Dhaka Zilla",375 followers,.... Including most of the European countries.  TechCastell is renowned for it's service in software industry. Services include: Web&App development; 2D&3D Graphics...
IT sheba Limited,"IT Services and IT Consulting • Dhaka, BD",363 followers,...Software Development Mobile Software Development Web-Based Software Development Custom Software Development Software Product Development Enterprise Software Development Startup Software Development IoT Software Development ERP & CRM System Software Development HR Software Development eCommerce Software Development E...
Obboy Labs Ltd,"Software Development • Dhaka, Dhaka",395 followers,"Obboy labs is a software engineering company focused on machine learning research and application based in Dhaka, Bangladesh. Our specialization includes financial technology, chatbot development, natural language processing, web development, Blockchain, and industrial automation."
HK IT Limited,Software Development • Dhaka,348 followers,"Welcome to HK IT Limited, a premier provider of comprehensive software solutions. We specialize in delivering high-quality software services to meet..."
TECH-BHAI,"Software Development • Dhaka, Dhaka",367 followers,"...technical support. Established in 2016, we take pride in being a distinguished member of the Bangladesh Association of Software and Information Services. Our..."
"LOS Technology Limited, Bangladesh",IT Services and IT Consulting • Dhaka,375 followers,"...consultancy, custom software development, web development, IT operations and administration outsourcing, and managed services.    Our clientele consists of large..."
Kawaii Advanced Technology & Solution Ltd.,"Software Development • Dhaka, Dhaka",379 followers,"Established in 2020, Kawaii Advanced Technology and Solution Ltd. taps into Japan’s rich culture of cuteness and coolness. As a global leader in software..."
SINOSOFT LIMITED,"Software Development • Dhaka, Dhaka",210 followers,"SinoSoft Ltd. is a leading and innovative software development house based in Bangladesh. Starting form 2011, SinoSoft now provides solutions in the broad..."
Twoinsoft Technologt,"IT Services and IT Consulting • feni, feni",103 followers,"TWOINSOFT TECHNOLOGY started its activities since 2009 that is approved by Bangladesh Technical Education Board -BTEB. Our service is IT Training, Freelancing-Outsourcing Training, English Spoken Course, Software Development, Web Design & Development. We provide the best services to our clients & Students with our..."
CyberNetic Infotech Ltd.,"IT Services and IT Consulting • Dhaka, Dhaka",377 followers,Cybernetic infotech Limited is an IT and IES based company • Specialties: software Development
Appstick,"Software Development • Khulna, Khulna",291 followers,Appstick is a software development and software maintenance company that was founded 3 years ago. Appstick has focused on quality management from the born...
Ravens IT,"Technology, Information and Internet • Dhaka",410 followers,"...the industry. Whether you're looking for software development, network design, or cybersecurity solutions, we've got you covered.  At Ravens IT, we believe that..."
Innovative IT Solutions Ltd,"Information Technology & Services • Dhaka, Mohammadpur",360 followers,"Innovative IT Solutions Limited is a value-driven company in the fields of Software and Apps Development, Web Design and Development, Training Center, Multimedia presentations,  Online Business Development, and Search Engine Optimization. One of the leading web service providers since 2021, with Over 400 Successful..."
Oracle Technology Software and Learning,"Technology, Information and Media • Chattogram",307 followers,"OTSL was established in 2007 as a “center of excellence in IT”. It has been conceived with the ambitious objective of developing professional expertise in IT. Since 2010 we provide ERP systems and all types of IT solutions.  We are one of the Top Software Development Companies, known for providing bespoke, made..."
AWA Graphics Design,"Design Services • Kushtia, Bangladesh",383 followers,"...to play with design. The team members create design works that are quite attractive to the audiences, readers, & targeted customers. They all have High Software skills. They are all experts in photoshop, illustrator, InDesign, after effects and they have the potentials to learn new things.  AWA GRAPHICS DESIGN is founded..."
Zariq,"Information Technology & Services • Mirpur , Dhaka",329 followers,"...to render highly sophisticated, value-based and quality services in the field of Information Technology. Our slogan is 'Innovative Support Everywhere'. We believes in customer satisfaction and deliver the finest tuned web,desktop and mobile based solutions to our clients. Our team works to ensure the highest quality full..."
EZAM Tech Solutions int.,IT Services and IT Consulting • Shanghai,377 followers,"Ezam Tech Solutions int., is a new department of the Ezam (Bangladesh) International Group, a premier IT service provider based in Dhaka, Bangladesh run from China. We specialize in web development, software development, and ERP systems. We are dedicated to delivering forward-thinking solutions. Our team blends..."
Preview Technologies Limited,"IT Services and IT Consulting • Dhaka, Dhaka",342 followers,Preview Technologies Limited is a leading Software Development & Maintenance firm in Bangladesh. It provides all kind of Software & Web Solution. Perfection & Customer Satisfaction is it's principle which makes it special from others
QBit Tech,IT System Custom Software Development • Dhaka,336 followers,"Welcome to Qbit Tech, the fastest-growing IT firm in Bangladesh, renowned for its exceptional services and customization. Our team is a powerhouse of skilled..."
Ovlea,"Advertising Services • Dhaka, Dhaka",350 followers,"...in Dhaka, Bangladesh, OVLEA Digital has a team of experienced professionals who are passionate about helping local and overseas businesses succeed in..."
Roopokar,IT Services and IT Consulting • Dhaka,307 followers,"Roopokar is an IT company based in Dhaka, Banglades, providing  website design, web development, Software Development services for private companies, non-profit and Government organizations across the globe.  Outsourcing, while offering value in the form of improved corporate performance and sustained growth..."
Fiyxer,"Software Development • Tangail, Dhaka",348 followers,"Fiyxer is Certified Digital agency, Fiyxer was founded in 2018 by Yousuf Hossain. We help entrepreneurs and forward-looking companies to transform their ideas into successful startups and engaging business models.  We have been Providing Professional Design, Development, and Branding Services to 480 clients..."
Thinky Storm,"IT Services and IT Consulting • House 15, Road-2, section-12, Pallabi, Mirpur-11.5, 1216, Dhaka, Bangladesh.",371 followers,"Our Vision: Inspire and enable businesses to accelerate and bring ideas to life through technology and software development, maximizing the potential of all stakeholders – clients, partners and employees.​ Our Values: - Passion​ - Curiosity​ - Integrity​ - Hunger​ - Deadline​"
Business Solution,"Business Consulting and Services • Dhaka, dhaka",348 followers,"""Business Solution is a Software & business development company. It offers 3 major services to an Entrepreneur to grow . 1. Software & Web Development, Digital Marketing 2. Business Listing, insights & Products sale 3. Halal Investment"""
Nested IT Solutions,"Information Technology & Services • Dhaka, Mirpur 12",354 followers,Nested IT Solutions provides SaaS base application software and it's our main product. We are working on product base software and its our second criteria. And we are creating customized based software also. Our main focus is to complete web solution in the field of web design and development according to our client...
Onirban Bangladesh Technologies,"Software Development • Kakrail, Dhaka",326 followers,"Onirban Bangladesh Technologies is an IT services company located in Dhaka, Bangladesh. We are focused on developing innovative products and solutions that help businesses increase their efficiency and success. Our services range from software and web development, mobile application development, digital marketing, e..."
Flytech IT,"Software Development • Sylhet, Sylhet",337 followers,"Flytech IT - Your Desired Place For Software Development 🚀 Elevate your digital presence with cutting-edge software solutions! 🌐  At Flytech IT, we are passionate about harnessing the power of technology to drive innovation and deliver exceptional software solutions. With three(3) years of experience in..."
itiw,Software Development • Dhaka,364 followers,"ITIW was established in 2005 as a 100% export oriented software company. At present, we are a 46 person software company with Apple iPhone Application..."
Extreme Solutions,"Software Development • Chittagong, Chittagong",374 followers,"A leading software company in Bangladesh providing Accounting software, ERP software, POS software, Prescription system."
Techtunes,IT Services and IT Consulting • Dhaka,328 followers,...Worldwide. Techtunes community are in 180 countries all around the world. Techtunes is the most visited web service in Bangladesh. Not only in Bangladesh Techtunes is the Asia's Largest Science and Technology Social Network.  Techtunes client base are the top IT companies in Bangladesh and worldwide. Techtunes runs its...
Sailor Info Tech Limited,"IT Services and IT Consulting • Dhaka, Dhaka",289 followers,"...(Social Media Marketing), SMO(Social Media Optimization) Web Design & Development, Web Research & Analysis, Data Management, Customizable Software Development..."
Sweep Code,"Software Development • Dhaka, Mirpur",348 followers,...user experiences. 💻🌐📱   ✨ Elevate with 𝗢𝘂𝗿 𝗦𝗲𝗿𝘃𝗶𝗰𝗲𝘀! ✨  🌐 Web Development 💻 Customized Software Development 📱 Mobile App Development 🛒 eCommerce Development 📣 Digital Marketing  Connect with 𝐒𝐰𝐞𝐞𝐩 𝐂𝐨𝐝𝐞 for a transformative partnership in the digital age. Let's shape the future together! 🚀🌐💼
Reach4Help,Philanthropic Fundraising Services • Montréal,301 followers,"...mutual aid partnerships. We saw this crisis as an opportunity to build social resilience in our communities, putting in place the safeguards that will keep us..."
DevTriple S,"Software Development • Dhaka, Dhaka",397 followers,"Welcome to DevTrippleS! We are a dynamic software development company specializing in mobile app development. Our team of highly skilled and passionate professionals is dedicated to transforming innovative ideas into stunning and functional mobile applications. With a strong emphasis on quality and user experience, we..."
B2M Technologies Ltd,"Telecommunications • Dhaka, Dhaka",359 followers,...Computer Global and provided higher Diploma in software engineering. B2M core operation changed in 2006 are now connected to all major cell phone operators...
LEOTECH,"Software Development • Dhaka, Dhaka Division",292 followers,Leotech is IT base company. Our motto is to provide innovative and creative IT service • Specialties: Development software
Bongosoft,"IT Services and IT Consulting • Middle Badda, Dhaka",307 followers,"Bongosoft is a Bangladesh based Software Company, serve globally. Bongosoft can serve you with software, web application, Website development, Creative design, digital marketing, and business growth.  We have over 7 years experience. We serve more than 350 clients or company 20+ countries around the world."
Hostrare,"Software Development • Dhaka, Mirpur",386 followers,"Best Web hosting, Domain Registration, Website Development, Software Development company in Bangladesh. Core Services: Webhosting, Domain Registration, Website Development, Software Development."
oimi.co,IT Services and IT Consulting • Dhaka,384 followers,We are a software and web development company.
